Title,Location,Company,Salary,Sponsored,Description
Software Engineer,Rawalpindi,MTBC,None,Organic,"Job Profile:
Writing efficient code • Having sound knowledge of SQL queries,Creating websites/a website using standard angular and c# practices • Researching different software programs, maintaining software documentation
Skill(s):
Strong analytical and communication skill
technical writing and documentation
Problem solving and logical thinking
Teamwork
Written and verbal communication
Tool(s):
SQL SERVER
VISUAL STUDIO
TEAm Foundation server
postman and swagger
Programming Language(s):
SQL
C#
ANGULAR
OOPS, HTML
PYTHON

Additional Information
Total Position(s):
4
Gender:
Male
Minimum Education:
Bachelors Degree
Degree Title
Bachelors Degree
Job Type:
Full Time/Permanent
Shift:
Rotating
Location:
Rawalpindi
Apply by:
February 28, 2020"
Software Engineer/.Net Developers,Islamabad,Dera IT Solutions,None,Organic,"Software Engineer/.Net Developers
In depth knowledge of .NET Platform
Practical experience on C# and ASP.NET
Database Programming with MS SQL Server
Strong Object Oriented Analytical skills
Good knowledge on HTML, XHTML, AJAX, JavaScript and JQuery
Assist and coordinate with project managers to perform project analysis, determining functional and technical business requirements, application development.
Must have experience of working in crystal reports and other reporting softwares."
RESIDENT ENGINEER,Islamabad,Interactive Group,None,Organic,"Respond to tickets following documented processes.
· Answer inbound non-critical phone calls.
· Monitor ticket queues and route as appropriate
· Follow e-mail process.
· Utilize knowledge base
· Understand basic IT functions within systems, support and network
· serve as a main point of contact for customer related issues
· Provide high levels of Customer Service while processing inbound calls
· Responsible for supporting client services in the use of various software programs and hardware platforms for level 1 support
· Create tickets with accurate and detailed information
· Resolve tickets with accurate associated time and expenses
· Courteously obtain and convey concise problem information for external and internal service personnel.
· Other duties as assigned by management
· Availability in three shift duty rotation.
· Network Monitoring and problem identification.
· Basic switch/router/server troubleshooting knowledge
· Monitoring and troubleshooting support of IP devices such as VOIP phones, printers, Cameras etc.
· Datacenter environment monitoring.
· Excellent learning capabilities
· May involve 70-80 percent travelling.
KNOWLEDGE AND COMPETENCIES
· Team Player
· Knowledge of methods and procedures concerning public contact; of telephone procedures; and of spelling punctuation, grammar, and arithmetic.
· Skill is required to operate various office equipment including computers, printers, voip phones etc.
· Ability is required to work with customers; to gather data and facts; to keep records; and to communicate effectively, both orally and in writing.
· Must possess good skills regarding IT/ computers, IP Cameras, Networks, Fiber Optics and Electrical Power.
Job Type: Full-time"
Intern - Junior Software Engineer / .Net Developer,Islamabad,Noorax,None,Organic,"NoorAX is offering unpaid internship program at their office. People who are willing to build a career in web development should apply.
Job Description
Exceptional skills in logical and analytical thinking required.
Excellent Object Oriented Programming concepts.
Working opportunity on enterprise application in .Net (Web and Desktop)
Have good hands-on experience working on Academic Projects.
Internship for 3 months
In return we offer:
IT Industry experience & Certificate
Opportunity to grow and learn fast.
A friendly and highly conducive work environment



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Computer Vision Engineer,Islamabad,PackageX,None,Organic,"VisionX is a digital product company and a mindset obsessed with customer success. Acting as a strategic innovation partner, we help our clients (a) think through their digital and innovation roadmap, (b) build tailored digital products and solutions powered by emerging technologies stack, and (c) develop our Software-as-a-Service (SaaS) solutions.
Our customers are world-leading brands and enterprises, including Fortune 500 and strategic startups. VisionX products and SaaS solutions continue to help its customer (a) achieve fast track business growth, (b) gain competitive advantage, (c) constantly innovate to stay relevant, and (d) accelerate product development and feature delivery for their end customers.
PackageX is an AI-powered SaaS product of VisionX (now a standalone entity) that enables the future of delivery management for residential and commercial buildings – mail, packages, and inventory. Our product is deployed in 30 countries and 118 cities.
Our Team & Your role

We hire the best, invest in them, push them outside their comfort zones to help realize their real potential to serve our clients, our company, and most importantly understand life, to value each moment and the people they interact with. Joining us might be easy but staying at VisionX is harder.
We are headquartered in New York City with our teams geographically located and our delivery powerhouse in Islamabad, Pakistan.
As, a Computer Vision Engineer you would help us to create and improve our products. You would need exceptional skills in programming and also have knowledge of data science and software engineering. You are always on a lookout to unlock and maximize your real potential. You dream big, hustle, take risks, and never quit.
Proactive, Leadership capabilities, Team player, Positive attitude with high level of emotional intelligence towards work and life, take and implement feedback, creative problem-solving skills, customer obsession, love & live Innovation, startup mindset, strive for excellence.

Development and optimization of state-of-the-art deep learning models using deep Learning frameworks, covering computer vision, object detection and localization.
Work with framework software developers to facilitate end-to-end optimization.
Distribute the model training and inference into multi-node systems, allowing scalable optimization and performance.
Design and enable next generation deep learning systems.
Perform Data Cleansing Data preparation through Digital Image Processing.
Will work on change detection algorithms (background subtraction etc)
Documentation and formulation of report and work progress to management and clients.
Articulate the model performance and evaluation / results through ROC curves and evaluation matrix.
Meet the coding style and standards requirements in python Pep 8, Flake 8 etc.
Follow the Agile methodology (Sprints) and daily stand-ups.
What You Need
Master’s or BS in Computer Science, Electrical Engineering or any related fields (Statistics, Applied Math, or Computational Neuroscience)
2+ years of experience in the following area: Background in DL, ML algorithms and model development.
Experience designing and developing professional software using Python, C++.
Fluency and experience in python, OpenCV, Numpy, Pandas.
Familiarity and proficiency with DL, ML frameworks (eg. TensorFlow, Keras, AWS Sagemaker) is highly required.
Experience in 3D computer vision and video analytics algorithms, such as image segmentation,3d reconstruction, object and motion detection, tracking and classification.
Two year of experience in machine learning algorithms for vision problem
Our Values:
Our values are the foundation of our X-Culture. To be successful in your day to day tasks we believe in customer centricity, excellence in what we do, taking ownership, bringing spark & innovation, and teamwork.
Why Choose Us
We live and breathe cutting-edge technology. We operate within the Fortune 500 and tech startups and ecosystem. We believe in delivering customer value through our work. We build products that are not good or great, but outstanding. We help build your startup if you are an aspiring entrepreneur. Our global network of industry experts and mentors helps shape our growth and future. Our leadership team has extensive technology, retail, and consulting experience with world-renowned brands. We have got all it takes to build an enterprise of the future.
You deliver! We will make your stay and journey with us worthwhile.
We are an equal opportunity employer, and we value diversity. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other legally protected status."
"Transformer Service Engineer, Islamabad; Pakistan",Islamabad,ABB,None,Organic,"Take the next step in your career at ABB and work in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
The Power Grids business delivers products, systems, service and software solutions as part of its comprehensive power & automation offering for the grid across the power value chain - serving utility, industry, transportation and infrastructure customers.

You as a Transformer Service Engineer will work with Power Grids business based in Pakistan. Reporting to the Project Director, you will be executing Service work with low to medium complexity according to work instructions and in accordance with ABB standard processes, quality standards and safety guidelines. Delivering quality customer service to satisfy customers. In close co-operation with customer and other ABB teams, take actions to identify new Service business opportunities for ABB.
Your responsibilities
Delivering maintenance and repair services to the CASA 1000 Converter Station in Nowshera, Pakistan.
Delivering exceptionally high availability in regard to Converter Transformer for CASA 1000 system.
Maintaining the value and maximizing the design life of the system.
Maintaining strong relationship with this valued customer.
Living ABB’s core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.
Your background
A Bachelor’s degree in Electrical engineering.
Electrician with 5+ experience in HV power systems
HV (>200kV) Substation experience.
Required technical skills and commercial acumen.
Experience in delivering technical reports and fault analysis. Maintain Maintenance Management System, complete all customer fault reports & commissioning documentation where required in a timely manner.
To be considered candidate must be willing to relocate to Sweden for a period of minimum 1 year for converter transformer specific training at the ABB transformer factory.
Candidate is also required to travel to other HVDC sites to complete his training under supervision of an experienced converter transformer supervisor in an on-site environment.
After completing FST candidate must be willing to relocate to the area of Nowshera, Pakistan for a period of minimum 4 years to participate in construction activities as well as service commitments.
More about us
Bring your very own sense of pride and purpose as you help us drive forward the Fourth Industrial Revolution – creating a sustainable future for our planet, and your career. Join ABB and harness the power of our diverse global network, as you collaborate with and learn from our world-class teams. Above all, challenge yourself every day. Let’s write the future, together.
It is an exciting time to join ABB Power Grids. ABB and Hitachi have signed an agreement to create a joint venture (JV). By combining ABB Power Grids’ with Hitachi’s complementary strengths, we plan to form a new and stronger global leader in the power sector. ABB Power Grids and Hitachi will have more than 230 years of combined heritage and experience. Together, we will be well-positioned to shape the future of energy, with pioneering technologies, as the partner of choice for enabling a stronger, smarter and greener grid. The transaction is expected to be completed by the first half of 2020, subject to regulatory approvals. Join us on this exciting journey."
Software Engineer,Islamabad,Bentley Systems,None,Organic,"BS/MS Degree in Computer Sciences or Software Engineering from recognized institute with 3-7 years of experience

Good understanding of .NET framework.
Strong programming concepts and knowledge of C++, C#
Good concepts of OOP and data structures
Good problem-solving skills"
Software Engineer,Rawalpindi,Kamal Laboratories,None,Organic,"Contribute to software design and architecture, including design reviews
Contribute to integration, system, and performance testing, including test tools
Take ownership as a highly motivated member of a scrum team
Assist with troubleshooting customer problems and finding solutions in a timely fashion
Work within a Scrum environment to plan and deliver incremental software in defined sprints
Build strong partnerships with IT Manager,Principle Software Engineer



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Software Engineer,Islamabad,MFSYS Software & Systems (Pvt.) Ltd.,None,Organic,"SOFTWARE ENGINEER We are looking for a Software Engineer to Design, Develop and Install Software Solutions. He/She will be able to build High-Quality, Innovative and fully performing software in compliance with Coding Standards and Technical Design. Prior work experience in a Banking Environment would be an added advantage. Qualification: BSCS / BEIT Experience level: Fresh to 2 years Skills Required Languages: J2EE, JAVA, EJB and JSF Databases: DB2, MYSQL Servers/ Platform: Tomcat, and Oracle Weblogic 12c and 11g applications will be a big plus.

Kindly share your CVs"
Software Engineer,Islamabad,Teradata,None,Organic,"Requisition Number:
206199

Position Title:
Analytics Consulting II

External Description:
Teradata GDC Pakistan is looking for DevOps Engineer s . As DevOps Engineer, you will be developing new features and helping the project teams to streamline processes—and automating them where applicable . DevOps Engineer Requirements

CountryEEOText_Description:
City:
Islamabad

State:
Islamabad

Community / Marketing Title:
Software Engineer

Job Category:
Consulting

Company Profile:
With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence.

Location_formattedLocationLong:
Islamabad, Islamabad PK"
