Title,Location,Company,Salary,Sponsored,Description
Artificial Intelligence (AI) Internship,"Bhubaneshwar, Orissa",AI CoE,"₹15,000 a month",Organic,"About the company:
AI CoE Lab is one of the initiatives of Tech Mahindra, College of Engineering and Technology (CET) and Biju Pattanaik University of Technology (BPUT) with the intention of setting up Artificial Intelligence (AI) CoE at its campus. CoE will be operated jointly by CET and TechM where AI-related applications, research, and development activities will be carried out. The CoE will be a center of knowledge aimed to conduct Proof of Concept (POC) and solutions in the field of AI and other applications in AI.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Actively collaborate with the existing teams & subject matter experts to explore and solve key challenges in the field of AI 2. Participate/Design/Deploy data collection plans to facilitate the ML models 3. Publish work on AI/ML/NLP topics 4. Design/develop/test and deploy both novel and COTS AI/ML solutions
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 25th Jan'20 and 24th Feb'20
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 20
Additional details:
This is a full time internship for 1 year.
Categories: Artificial Intelligence (AI),Computer Science,Engineering"
Artificial Intelligence (AI) Internship,"Mumbai, Maharashtra",Chilsag Entertainment Network,"₹2,000 a month",Organic,"No. of opening 2
Functional Area Other
Industry Type Other
Duration 1 Month(s)
Responsibilities include:

1. Research on artificial intelligence
2. Work on documentation
3. Visit libraries & research work on diverse sectors in AI
Desired Candidate Profile
Profile Description
Location: Mumbai
Under Graduate Qualification B .Com (Any Specialization) B.A. (Any Specialization) B.Sc (Any Specialization) BBA / BBM / BBS (Any Specialization) BCA / BCM (Any Specialization)
Note:Candidate should have a UG qualification"
Artificial Intelligence (AI) Internship,"Hyderabad, Telangana",Techshra,"₹8,000 a month",Organic,"About the company:
Techshra is a customer-oriented company offering mobile applications, software development, web development, and business development services in various technologies. For the welfare of its clients, Techshra also additionally steps up for providing digital promoting, organic SEO, ads on Google, Facebook, LinkedIn, and various alternative social media sites.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Implement new approaches to understanding, decision making, and output generation for conversational agents 2. Build, test, and deploy AI driven conversational agents 3. Enhance existing platform and solutions by adding and improving features 4. Create an automation that makes building and testing conversational systems easier 5. Work on wireframe concepts and create documentation to communicate ideas
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 23rd Jan'20 and 27th Feb'20
are available for duration of 2 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 2
Categories: Artificial Intelligence (AI),Computer Science,Engineering"
"Eng, Artificial Intelligence 4","Chennai, Tamil Nadu",KLA-Tencor,None,Organic,"Job Opening ID: 122280
Chennai, India
Full-Time
Regular

Company Overview
Calling the adventurers ready to join a company that's pushing the limits of nanotechnology to keep the digital revolution rolling. At KLA, we're making technology advancements that are bigger—and tinier—than the world has ever seen.

Who are we? We research, develop, and manufacture the world's most advanced inspection and measurement equipment for the semiconductor and nanoelectronics industries. We enable the digital age by pushing the boundaries of technology, creating tools capable of finding defects smaller than a wavelength of visible light. We create smarter processes so that technology leaders can manufacture high-performance chips—the kind in that phone in your pocket, the tablet on your desk and nearly every electronic device you own—faster and better. We're passionate about creating solutions that drive progress and help people do what wouldn't be possible without us. The future is calling. Will you answer?
Group/Division
With over 40 years of semiconductor process control experience, chipmakers around the globe rely on KLA to ensure that their fabs ramp next-generation devices to volume production quickly and cost-effectively. Enabling the movement towards advanced chip design, KLA's Global Products Group (GPG), which is responsible for creating all of KLA’s metrology and inspection products, is looking for the best and the brightest research scientist, software engineers, application development engineers, and senior product technology process engineers.
First to deliver the best imaging and classification data for every defect or point on any layer at any time.
EBeam’s mission encapsulates its role as the “eyes” of KLA’s product line, providing timely information on defects and critical locations on the wafer at the highest spatial resolution possible. Customers use EBeam products alongside KLA patterned and bare wafer inspectors to quickly understand the nature of defects and other imperfections on product wafers and take action to correct the manufacturing process.
Responsibilities
We are looking for an Algorithm Engineer / Lead with an experience of ~10 years of product development for EBEAM division for developing next generation technologies in yield management for Semi-Conductor industry. This position involves developing advanced Image Processing and Machine Vision algorithms for the wafer Inspection, Review and CD Metrology. We are one of the pioneering companies in the Semi-Conductor industry to use Deep Learning algorithms for defect detection and classification. In addition, we are actively exploring using Generative models (GAN) for SEM image simulation and image quality enhancement.


The EBeam algorithms group operates in the very challenging environment of the rapidly evolving semiconductor industry. The group designs and develops cutting edge image processing and machine learning algorithms. The group also implements system level solutions to push the limits of sensitivity on these inspection & review systems. The designs and implementations are always constrained to operate with the boundaries of robustness and stability. Furthermore, the real time requirements pose additional challenges. The Ebeam algorithms group also works extensively on providing solutions to live customer problems in the field.

This position is unique as it interfaces with several system level groups - Optics, mechanics, sensors, and applications among others. The opportunities are boundless in the technical areas as we are constantly pushing the envelope of leading edge technologies in algorithms and image computers. We are also constantly pursuing system level solutions for these complex automated inspection platforms. We are constantly innovating and releasing products every few months
Qualifications
The candidate must have a degree in Engineering, Physics, Mathematics, or related fields.
The ideal candidate will have a working knowledge of Machine Vision.
Experience of driving design, development, integration and adoption of products from scratch.
Knowledge of Deep Learning with working experience in Tensor Flow, Theano, PyTorch etc.
Strong hands-on knowledge of skills C/C++ and object-oriented programming
Experience of programming and debugging in Linux OS
Experience working with image / video processing algorithms / systems and third-party libraries like IPP, OpenCV etc.
Ability to formulate problems into mathematical equations.
Proficiency in computational methods
Team player with good written and verbal communication skills."
Artificial Intelligence (AI) part time job/internship at Ban...,"Bengaluru, Karnataka",Reflective AI,"₹20,000 a month",Organic,"About the company:
At Reflective AI, we are redefining construction using computer vision and deep learning. We are building a category defining product to address systemic inefficiencies rampant in construction. We are seeking to hire a top tier team to help us build our product.
About the internship/job:
This description is for a remote deep learning internship position at a fast-growing startup in Silicon Valley, USA. Successful candidates will develop computer vision algorithms that automatically extract actionable insights from video. The internship can lead to a full-time offer based on satisfactory performance. Selected intern's day-to-day responsibilities include: 1. Develop deep learning and/or traditional image processing algorithms for video analysis of unstructured environments 2. Pre-process data, develop algorithms, train models 3. Prototype and develop algorithms for use in a high-throughput vision processing pipeline 4. Develop production machine learning architectures for performance and scalability 5. Write production code and deploy into industrial environments
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 26th Jan'20 and 25th Feb'20
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Other requirements:
Should have an MS or Ph.D. in computer science Should have 3+ years of experience in computer vision and machine learning Should have background and expertise with object segmentation, classification, detection, and multi object tracking Should have prior knowledge of LSTMs and video action recognition algorithms is a HUGE plus Should have the capability with deep learning frameworks (e.g., Caffe, Keras, TensorFlow ) Should have mastery of C++ or Python Should have experience building data pipelines Should have familiarity with software design best-practices, test-driven development, and frequent end-to-end testing Should have mastery of OpenCV and computer vision algorithms such as SIFT, HOG, and edge detection
Number of internships/jobs available: 1
Categories: Artificial Intelligence (AI),Computer Science,Engineering"
Research Scientist - Entomology,"Udaipur, Rajasthan",PI Industries Ltd.,None,Organic,"Position Description
Business Division:
PI CreAgro
Department:
Biology
Location:
Udaipur

Position Title:
Research Scientist – Entomology
Level:
E1-E4
Reporting to (Title):
Group Leader - Entomology

Position Purpose
The role holder shall report to the Group Leader and shall be responsible for multiplication of insects & testing new active ingredients against many insect species for the purpose of advancing the identified leads from the discovery to pre-development / development of innovative chemicals for crop protection / crop growth with an aim of adding significant value to the business of PI.
Strategic Responsibilities
.
Operational Responsibilities
Research Activities
Multiplication & maintainance of lepidopteran & sucking insects
Testing of new active ingredients in the lab using artificial diet or lab field bio-assays
Operate all the equipment in entomology, application technology & prepare subjects required for the experiments.
Tabulate results, analyze and extrapolate results data to develop theories for explaining observed phenomenon.
Troubleshoot and solve scientific problems.
Present results in cross-functional project teams and work across various projects / programs to achieve results.
Documentation
Document and record findings in electronic notebook/research reports / papers for further dessimination / filing.
Process Adherence and Improvements
Adhere to all safety / information security / quality norms related to research procedures.
Participate in process improvement inititatives under direction of Head - Biology.
Knoweldge Management
Participate in knowledge management initiatives by contributing to KM portal.
Contribute to competitor intelligence through secondary research , participation in internal / external forums, professional organizational networks.
Reporting
Update timesheets / progress trackers and submit to supervisor as directed.
Financial Responsibilities
.
People Responsibilities
Lead professional development through continuous learning and development initiatives within and outside the organization.
Collaborate with team members and cross functional teams to ensure meeting research objectives.
Education Qualification
Ph.D/Masters in Entomology/Zoology from a reputed University / Institute with excellent academic credentials.
Work Experience
2-5 years of post-academic industrial research experience
Candidates who have been part of teams involved in entomological research projects in public/private sector
Industry to be Hired from
Agro Chemical / Seed / Agriculture Universities or Institutes
Functional Competencies
Crop Protection Knowledge
Subject knowledge
Data Assessment and Analysis
Experimental Skills
Interaction Complexity and Team Work
Interaction
Frequency
Purpose of Interaction

Internal :
Team Leader , Group Leader, Head - Biology, HR , Finance
As and when required
Planning work, discussing results of experiments, resolving doubts, seeking clarifications on policies, reimbursement claims"
Machine Learning/Artificial Intelligence Engineer Fresher,"Thiruvananthapuram, Kerala",CYBOSOL,None,Organic,"Job Description
Looking for a talented and passionate Machine Learning Engineer with a broad knowledge of machine learning techniques to help design and implement cutting edge solutions across a breadth of domain areas.
The candidate will work with a multidisciplinary team of people, including software developers, to deliver end to end solutions that address customer pain points, across domains like Recommender Systems, Anomaly detection, NLP, Machine Vision, Collaborative Filtering, Clustering, Classification, Regression, Deep Learning, and/or statistical modelling.
Preferred Skills
B.tech or M.tech with some applied machine learning experience.
Strong background in one or more of : Deep Learning, Machine Learning, Natural Language Processing, Computer Vision, Recommendation Systems, Pattern Recognition, Large Scale Data Mining or Artificial Intelligence.
Strong Experience using open source frameworks.
Delivery of a previous AI based project with success and failure stories from a real customers, with a good sense of lessons learnt and a clear interest and passion in trying out what was learnt into new projects.
Hands on coding with C/C++, Python, Matlab or any proficient AI language of choice.
A mathematical, statistical and probability inclination and deep understanding of some AI concepts.
A sense of ambition and passion to change the world using AI and Deep Learning."
Experienced Artificial Intelligence Developer,"Gurgaon, Haryana",Siemens AG,None,Organic,"Looking for challenging role? If you really want to make a difference - make it with us
Siemens Gas and Power (GP) is a global pacesetter in energy, helping customers to meet the evolving demands of today’s industries and societies. GP comprises broad competencies across the entire energy value chain and offers a uniquely comprehensive portfolio for utilities, independent power producers, transmission system operators and the oil and gas industry. Products, solutions and services address the extraction, processing and the transport of oil and gas as well as power generation in central and distributed thermal power plants and power transmission in grids. With global headquarters in Houston in the U.S. and more than 64,000 employees in over 80 countries, Siemens Gas and Power has a presence across the globe and is a leading innovator for the energy systems of today and tomorrow, as it has been for more than 150 years.
We make real what matters. This is your role
Design, implement, test and deploy highly scalable Artificial Intelligence solutions to improve turbomachinery product design methods and processes
Work in cross-functional teams to collect data required from product R&D, operational field, testing data, and market data.
Create the conceptual, high-level, and detailed design of the software and data solutions
Define subsystems and their interfaces, allocate responsibilities to subsystems, understand solution deployment, and communicate requirements for interactions
Influence common modeling, design, and coding practices
Work with customers, stakeholders, and suppliers to implement, test, and deploy the solutions
Willingness to travel internationally for durations up to 3 months should work demand this
We don’t need superheroes, just super minds
Proven expertise in artificial intelligence and machine learning
Experience with managing, manipulating and visualizing large data sets (Python, R or equivalents)
Excellent written, verbal and presentation communication skills in English
Experience in working in cross-functional teams and with internal customers
Exceptional ability to build relationships
Data-driven and results-oriented approach to problem solving
Technical knowledge related to turbomachinery desired
Enthusiastic and motivated
Experience with industrial data / Internet of Things (IoT) desired
Experience with data acquisition, automation, and control systems desired
Education
Master degree, or higher qualification, in Engineering, Statistics, Data Mining, Machine Learning, Analytics, Mathematics, Operations Research, Industrial Engineering, or related field required.
We’ve got quite a lot to offer. How about you?
This role is based in Gurgaon, where you’ll get the chance to work with teams impacting entire cities, countries – and the shape of things to come.
We’re Siemens. A collection of over 379,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality and we welcome applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit and business need. Bring your curiosity and imagination, and help us shape tomorrow.
Find out more about Siemens careers at: www.siemens.com/careers


Job ID: 196748
Organization: Gas and Power
Company: Siemens Ltd.
Experience Level: Experienced Professional
Job Type: Full-time"
Artificial Intelligence (AI) Internship,"Ahmedabad, Gujarat",STEMpedia,"₹7,000 - ₹14,000 a month",Organic,"About the company:
STEMpedia was founded with a vision of boosting STEM education and strengthening maker culture to impart creativity and innovativeness. We provide technology and learning resources for children to experience learning-by-doing from easy to use hardware. With software for coding, a controller application for online courses, tons of tutorials, and example projects, we aim at providing end-to-end services. Built for users of all skill levels and ages, our offerings are popular educational institutes and trainers across the globe.
About the internship/job:
Selected intern's day-to-day responsibilities include developing machine learning and artificial intelligence-based features in PictoBlox application.
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 20th Jan'20 and 19th Feb'20
are available for duration of 4 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 1
Categories: Artificial Intelligence (AI),Computer Science,Engineering"
Artificial Intelligence (AI) Internship,"Chennai, Tamil Nadu",Makerdemy,"₹5,500 a month",Organic,"About the company:
Makerdemy is a senior IIM alumni venture and a pioneer company in the field of technology education. Our mission is to encourage school and college students to participate in the maker revolution- sweeping the world. We create courses on topics like Raspberry Pi, Arduino, Scratch programming and internet of things to help our students get future-ready.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Working on Google Assistant and Alexa based projects 2. Working on voice-based AI applications
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 23rd Jan'20 and 22nd Feb'20
are available for duration of 4 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 3
Categories: Artificial Intelligence (AI),Computer Science,Engineering"
