,coupons/offers,offer_urls
0,$10 Off Your Prime Now Order,https://slickdeals.net/?cno=1979137&sdtrk=rd_cl_fs&prop=sp-1
1,Up to 50% Off Amazon Coupon Codes and Promo for November,https://slickdeals.net/?cno=2788447&sdtrk=rd_cl_fs&prop=sp-2
2,Get $5 Amazon Credit When You Open Amazon Assistant Once Per 5 Days,https://slickdeals.net/?cno=2934802&sdtrk=rd_cl_fs&prop=sp-3
3,Amazon Fresh Now Free With Amazon Prime,https://slickdeals.net/?cno=2912851&sdtrk=rd_cl_fs&prop=sp-4
4,Extra 20% Off Amazon Warehouse Deals,https://slickdeals.net/?cno=2871622&sdtrk=rd_cl_fs&prop=sp-5
5,Free Shipping (No Minimum) For The Holidays,https://slickdeals.net/?cno=2930476&sdtrk=rd_cl_fs&prop=sp-6
6,"Buy 2 Get 1 Free on Select Movies, Music, Video Games, Toys & More",https://slickdeals.net/?cno=2916502&sdtrk=rd_cl_fs&prop=sp-7
7,$15 Amazon Credit with Purchase of $50 Amazon GC,https://slickdeals.net/?cno=2625715&sdtrk=rd_cl_fs&prop=sp-8
8,5% Off or More on Select Halloween Candy,https://slickdeals.net/?cno=2871601&sdtrk=rd_cl_fs&prop=sp-9
9,50% Off Amazon Fire TV Stick Now Only $25,https://slickdeals.net/?cno=2833369&sdtrk=rd_cl_fs&prop=sp-10
10,Free 1-Day Prime Shipping on Select Items,https://slickdeals.net/?cno=2749690&sdtrk=rd_cl_fs&prop=sp-11
11,3' Anker Powerline II MFi Certified Lightning Cable (White) $7,https://slickdeals.net/?cno=2892124&sdtrk=rd_cl_fs&prop=sp-12
12,$50 Off Anker Nebula Prizm Home Projector Now Only $37.99,https://slickdeals.net/?cno=2840608&sdtrk=rd_cl_fs&prop=sp-13
13,$15 Off Household Supplies $50+,https://slickdeals.net/?cno=2745625&sdtrk=rd_cl_fs&prop=sp-14
14,$20 Off Customers' First Amazon Prime Now Order of $50+,https://slickdeals.net/?cno=1930057&sdtrk=rd_cl_fs&prop=sp-15
15,$5 Amazon Credit with Purchase of $50 Amazon GC,https://slickdeals.net/?cno=2529439&sdtrk=rd_cl_fs&prop=sp-16
16,$10 Off Your First Prime Pantry Order of $40+,https://slickdeals.net/?cno=1917423&sdtrk=rd_cl_fs&prop=sp-17
17,$20 Off Echo Dot When You Buy 2+,https://slickdeals.net/?cno=2721685&sdtrk=rd_cl_fs&prop=sp-18
18,Fire TV Stick with Alexa Voice Remote+ 2 months HBO for $39.99,https://slickdeals.net/?cno=2716420&sdtrk=rd_cl_fs&prop=sp-19
19,"Amazon Pantry: Buy 5, Save $5 - Buy 10, Save $10 - Buy 15, Save $15",https://slickdeals.net/?cno=2532949&sdtrk=rd_cl_fs&prop=sp-20
20,$30 Off $60+ for American Express Membership Rewards Cardholders,https://slickdeals.net/?cno=1984186&sdtrk=rd_cl_fs&prop=sp-21
21,Free 30-Day Amazon Prime Trial,https://slickdeals.net/?cno=791633&sdtrk=rd_cl_fs&prop=sp-22
22,40% Off First Trial Bag of Wag Pet Food,https://slickdeals.net/?cno=2379484&sdtrk=rd_cl_fs&prop=sp-23
23,Free 3-Month Amazon Music Unlimited Trial for New Subscribers,https://slickdeals.net/?cno=2351197&sdtrk=rd_cl_fs&prop=sp-24
24,50% Off Amazon Prime for Customers with an EBT or Medicaid Card,https://slickdeals.net/?cno=2361718&sdtrk=rd_cl_fs&prop=sp-25
25,$10 Off First Whole Foods Purchase,https://slickdeals.net/?cno=1557003&sdtrk=rd_cl_fs&prop=sp-26
26,$14 Off Apple AirPods with Charging Case (Latest Model) Now Only $144,https://slickdeals.net/?cno=2315278&sdtrk=rd_cl_fs&prop=sp-27
27,Smart Plug or Bulb Only $10,https://slickdeals.net/?cno=2315842&sdtrk=rd_cl_fs&prop=sp-28
28,$8 Off 4-Pack Teckin 16 Amp WiFi Smart Plugs Now Only $31.10,https://slickdeals.net/?cno=2342146&sdtrk=rd_cl_fs&prop=sp-29
29,$10 Off First AmazonFresh Order $35+,https://slickdeals.net/?cno=2241574&sdtrk=rd_cl_fs&prop=sp-30
30,$10 Off Prime Pantry Orders $50+,https://slickdeals.net/?cno=2235076&sdtrk=rd_cl_fs&prop=sp-31
31,50% Off Roav VIVA by Anker Alexa-Enabled 2-Port USB Car Charger $25,https://slickdeals.net/?cno=2241562&sdtrk=rd_cl_fs&prop=sp-32
32,30% Off Pantry Clearance Items,https://slickdeals.net/?cno=2198623&sdtrk=rd_cl_fs&prop=sp-33
33,$30 Off Your First Order with Amazon Fresh,https://slickdeals.net/?cno=1934278&sdtrk=rd_cl_fs&prop=sp-34
34,50% Off BESTEK Universal Travel Adapter Now Only $20,https://slickdeals.net/?cno=2160784&sdtrk=rd_cl_fs&prop=sp-35
35,$20 Off LANGRIA Memory Foam Contour Adjustable Bed Pillow Now $9.89,https://slickdeals.net/?cno=2131003&sdtrk=rd_cl_fs&prop=sp-36
36,60% Off Brother P-Touch PT-M95 Label Maker Only $20.52,https://slickdeals.net/?cno=2139949&sdtrk=rd_cl_fs&prop=sp-37
37,Free Shipping During the Holidays - No Minimum,https://slickdeals.net/?cno=1946149&sdtrk=rd_cl_fs&prop=sp-38
38,Up To 40% Off TurboTax,https://slickdeals.net/?cno=1979107&sdtrk=rd_cl_fs&prop=sp-39
39,Up to $35 Off New 4K Fire TV Device + Free Gift Card with Trade-in,https://slickdeals.net/?cno=1942183&sdtrk=rd_cl_fs&prop=sp-40
40,53% Off 3-Months Audible Gold Digital Membership $6.95/Month,https://slickdeals.net/?cno=1942486&sdtrk=rd_cl_fs&prop=sp-41
41,$10 Off Your First Prime Now Order for First-Time Customers,https://slickdeals.net/?cno=1917363&sdtrk=rd_cl_fs&prop=sp-42
42,$5 Off First Prime Pantry Order $40+ with 30 Day Free Trial,https://slickdeals.net/?cno=1929271&sdtrk=rd_cl_fs&prop=sp-43
43,$25 Off Your First Amazon Fresh Order $100+,https://slickdeals.net/?cno=1466215&sdtrk=rd_cl_fs&prop=sp-44
